day,date,title,author,minutes
1,17-01-2026,O Conde de Monte Cristo,Alexandre Dumas,88
2,18-01-2026,O Conde de Monte Cristo,Alexandre Dumas,23
3,19-01-2026,O Conde de Monte Cristo,Alexandre Dumas,105
4,20-01-2026,O conde de monte cristo,Alexandre Dumas,60
5,21-01-2026,O conde de monte cristo,Alexandre Dumas,99
6,22-01-2026,O conde de monte cristo,Alexandre Dumas,137
7,23-01-2026,O conde de monte cristo,Alexandre Dumas,75
8,24-01-2026,o conde de monte cristo,alexandre dumas,82
9,25-01-2026,O conde de monte cristo,alexandre dumas,100
10,26-01-2026,o conde de monte cristo,alexandre dumas,92
11,27-01-2026,o conde de monte cristo,alexandre dumas,122
12,28-01-2026,o conde de monte cristo,alexandre dumas,101
13,29-01-2026,Le Banquet,Platão,21
13,29-01-2026,o conde de monte cristo,alexandre dumas,19
14,30-01-2026,le banquet,Platão,17
14,30-01-2026,o conde de monte cristo,alexandre dumas,89
15,31-01-2026,o conde de monte cristo,alexandre dumas,161
16,01-02-2026,o conde de monte cristo,alexandre dumas,107
17,02-02-2026,le banquet,Platão,18
17,02-02-2026,o conde de monte cristo,alexandre dumas,143
18,03-02-2026,Le français par la méthode nature,arthur jensen,14
18,03-02-2026,o conde de monte cristo,alexandre dumas,91
19,04-02-2026,Le français par la méthode nature,arthur jensen,21
19,04-02-2026,le banquet,platão,17
19,04-02-2026,o conde de monte cristo,alexandre dumas,94
20,05-02-2026,le français par la méthode nature,arthur jensen,30
20,05-02-2026,o conde de monte cristo,alexandre dumas,130
21,06-02-2026,le français par la méthode nature,arthur jensen,25
21,06-02-2026,le banquet,Platão,14
21,06-02-2026,o conde de monte cristo,alexandre dumas,83
21,06-02-2026,os irmãos karamázov,fiódor dostoiévski,42
22,07-02-2026,os irmãos karamázov,fiódor dostoiévski,28
23,08-02-2026,os irmãos karamázov,fiódor dostoiévski,53
24,09-02-2026,le français par la méthode nature,arthur jensen,17
24,09-02-2026,le banquet,Platão,25
24,09-02-2026,os irmãos karamázov,fiódor dostoiévski,55
25,10-02-2026,os irmãos karamázov,fiódor dostoiévski,54
26,11-02-2026,le français par la méthode nature,arthur jensen,14
26,11-02-2026,le banquet,platão,26
27,12-02-2026,le français par la méthode nature,arthur jensen,22
27,12-02-2026,os irmãos karamázov,fiódor dostoiévski,29
28,13-02-2026,le français par la méthode nature,arthur jensen,19
29,15-02-2026,os irmãos karamázov,fiódor dostoiévski,19
